Title,Date,neg,neu,pos,compound
Child prodigies speak about the importance of just being kids,2025-06-24,0.026,0.767,0.207,0.9997
Native forests in firing line ahead of likely shot-hole borer spread,2025-06-24,0.067,0.9,0.033,-0.9493
'Lab-grown meat' approved for sale in Australia. Will people eat it?,2025-06-24,0.036,0.855,0.108,0.9989
The maternity care that took Tara's BMI out of the equation,2025-06-24,0.106,0.775,0.118,0.9786
Albury doctor charged after child abuse images allegedly found on phone,2025-06-24,0.193,0.731,0.076,-0.9844
Police deny patient reached for officer's gun at SA hospital,2025-06-24,0.12,0.811,0.07,-0.9946
Kayla's life was taken over by the government. She's gagged from speaking out,2025-06-24,0.0,0.0,0.0,0.0
Kerrie left hospital clutching medication. She died 36 hours later,2025-06-23,0.183,0.747,0.071,-0.9993
"As Australia's deepest copper mine calls time, what happens to Mount Isa?",2025-06-21,0.063,0.865,0.071,0.8544
Online safety authority wants YouTube included in social media ban,2025-06-24,0.125,0.752,0.123,-0.9622
Albanese welcomes ceasefire news in Israel-Iran war — as it happened,2025-06-24,0.0,1.0,0.0,0.0
Australia backs US strikes on Iran while urging return to diplomacy,2025-06-23,0.107,0.783,0.11,0.6239
Don't want escalation': Albanese calls for diplomacy after Iran strikes — as it happened,2025-06-23,0.053,0.811,0.136,0.3612
Iran missile strikes at US base in Qatar a 'simple task' for air defences,2025-06-24,0.102,0.814,0.084,-0.9811
Iran struck at 'American strength and pride'. Its missiles were shot down,2025-06-24,0.105,0.776,0.118,0.7896
These strikes look like an Iranian escalation. They're likely the opposite,2025-06-24,0.131,0.786,0.083,-0.9712
"Zelenskyy calls Russia, Iran and North Korea 'coalition of murderers' during UK visit",2025-06-24,0.102,0.837,0.062,-0.989
Oil price plunges while Aussie dollar and ASX climb on ceasefire — as it happened,2025-06-24,0.0,0.889,0.111,0.7096
Trump says Israel-Iran ceasefire 'is now in effect',2025-06-24,0.116,0.787,0.096,-0.9772
"For all the noise around productivity, the solution may be obvious",2025-06-24,0.087,0.81,0.103,0.9527
NSW budget reveals $1b plan making it easier to build new homes,2025-06-24,0.087,0.823,0.09,0.1589
"From Frankston to Scotland, Sione is plotting the Wallabies' downfall",2025-06-24,0.03,0.814,0.156,0.9996
Aussies make bright start to Wimbledon qualifying,2025-06-24,0.048,0.85,0.102,0.9493
Paro refuses to 'chase ghosts' as he sets sight on American rematch,2025-06-24,0.082,0.827,0.091,0.2694
Aussie number one blown off course as Wimbledon looms,2025-06-24,0.089,0.747,0.164,0.9941
'Australians don't eat enough legumes': How to get the fibre you need,2025-06-23,0.041,0.921,0.037,-0.3984
'Passenger parenting' leaves dads on backfoot and mums carrying the load,2025-06-22,0.063,0.834,0.104,0.9948
Slow-cooker bolognese is the ultimate hands-off dinner,2025-06-21,0.04,0.886,0.074,0.7644
Four cooks share their secrets to the perfect winter roast,2025-06-20,0.02,0.864,0.116,0.9828
"Jane Austen rom-com makes cheeky nods to Bridget Jones, Hugh Grant",2025-06-24,0.05,0.777,0.174,0.9988
AC/DC announce first Australian shows in a decade,2025-06-23,0.059,0.848,0.093,0.936
WA author pens 'gay bogan love story' that's also about male loneliness,2025-06-23,0.103,0.767,0.13,0.9863
28 Days Later kickstarted the zombie revival. It's back for another bite,2025-06-22,0.117,0.801,0.081,-0.9961
"Despite Israel-Iran ceasefire, some analysts say we're moving into a 'danger zone'",2025-06-26,0.14,0.79,0.069,-0.9977
Tradies with 'destroyed' bodies want pension before 67,2025-06-26,0.045,0.901,0.054,0.8686
'Wasn't part of the syllabus': Australia's 30-year failure in teaching writing,2025-06-26,0.036,0.835,0.129,0.9969
'The Murdochs really hate Trump': Carlson says Fox CEO urged election run,2025-06-26,0.125,0.822,0.053,-0.9963
Medical graduates question rural relocation work scheme,2025-06-26,0.058,0.857,0.084,0.9757
Khawaja refuses radio interview after SEN axed journalist over Gaza posts,2025-06-26,0.036,0.819,0.146,0.9839
Where is Wylie Oscar? Behind the search for the missing stockman,2025-06-26,0.0,0.0,0.0,0.0
Domino's pizzas allegedly cooked using woodchips from endangered possum habitat,2025-06-26,0.082,0.85,0.068,-0.9791
Aussie sets world record with 800km run in five days,2025-06-26,0.054,0.884,0.063,0.607
"Mundella workers, suppliers owed thousands as administrators take over",2025-06-26,0.059,0.898,0.043,-0.8921
Looters swoop as landslip forces 'helpless' residents from their homes,2025-06-26,0.066,0.866,0.069,-0.1208
Tara Cheyne reveals stranger sexually assaulted her in broad daylight,2025-06-26,0.091,0.791,0.118,0.9774
US sanctions Mexican banks for allegedly laundering money for drug cartels,2025-06-26,0.084,0.844,0.072,-0.9468
Australia to provide $20 million package to Solomon Islands for key forum,2025-06-26,0.076,0.788,0.136,0.9875
At the end of its lifespan what's next for this heritage wind farm?,2025-06-26,0.007,0.917,0.076,0.9869
"Ex-student hacked uni for free parking before threatening data drop, police say",2025-06-26,0.09,0.845,0.064,-0.7625
"Farmer recovering after culling 500,000 chickens amid bird flu outbreak",2025-06-26,0.101,0.848,0.05,-0.9718
McBride lodges High Court application to challenge conviction,2025-06-26,0.108,0.838,0.053,-0.9898
Satellite photos reveal hundreds of illegal dams in SA region,2025-06-26,0.069,0.857,0.074,0.4851
"As gas use declines, those remaining could foot bigger bills",2025-06-26,0.067,0.844,0.089,0.974
Uni cops sanctions warning after Iran state media attended event on campus,2025-06-26,0.05,0.927,0.023,-0.9306
Cable theft in France disrupts train travel between London and Paris,2025-06-26,0.154,0.822,0.024,-0.9937
South Korean court rejects arrest warrant for ex-president Yoon Suk Yeol,2025-06-26,0.175,0.767,0.058,-0.9942
Pokies pre-commitment card won't go ahead without 'national approach',2025-06-26,0.052,0.838,0.11,0.9777
Sussan Ley's press club address marks tone shift for Liberals,2025-06-25,0.072,0.786,0.142,0.9975
Sussan Ley prepared to be 'zealot' to preselect more Liberal women — as it happened,2025-06-25,0.047,0.863,0.089,0.3425
First Nations leaders urge PM to convene national cabinet on prison crisis,2025-06-25,0.049,0.871,0.08,0.9393
Thirteen-year-old Abed died weeks after shrapnel ripped through him in Gaza,2025-06-25,0.17,0.799,0.031,-0.9989
Australia joins UK to assert right to navigate in South China Sea with joint navy exercises,2025-06-25,0.026,0.897,0.077,0.9883
Iranian Australians share their agony amid shaky ceasefire with Israel,2025-06-25,0.108,0.767,0.125,0.8209
US sanctions Mexican banks for allegedly laundering money for drug cartels,2025-06-26,0.084,0.844,0.072,-0.9468
"Australia should dominate supply of green shipping fuel, says Rod Sims",2025-06-25,0.032,0.821,0.147,0.9984
Inflation eases back more than expected in May,2025-06-25,0.058,0.886,0.056,0.3766
Strain of interest rates hitting home loan borrowers but relief in sight,2025-06-25,0.075,0.811,0.114,0.9908
Spirit of Tasmania V officially handed over to ferry operator TT-Line,2025-06-26,0.012,0.884,0.104,0.9859
Same old saviours rescue Aussies after 'woeful' top-order batting,2025-06-26,0.086,0.821,0.093,0.8387
"How Australian Rules football adapts to the weather, and who's best in the wet",2025-06-26,0.036,0.863,0.101,0.9984
Aussie Joint topples British star in pre-Wimbledon upset victory,2025-06-26,0.049,0.797,0.154,0.9937
Matildas midfielder ruled out of Montemurro's debut against Slovenia,2025-06-26,0.04,0.824,0.136,0.9912
What you can do to stop the spread of illness in your home,2025-06-26,0.105,0.794,0.101,-0.1767
Confidence in IVF has taken a hit. How can you feel more in control?,2025-06-25,0.06,0.871,0.069,0.7652
Why it is important to check your super account regularly,2025-06-25,0.038,0.76,0.202,0.9995
Is it OK to take items from other people's kerbside pick-up?,2025-06-24,0.038,0.802,0.16,0.9988
Why this year's Miles Franklin shortlist is the most 'radical' yet,2025-06-25,0.084,0.726,0.19,0.9998
Lewis Hamilton produced the F1 movie. So why does it handle race so poorly?,2025-06-25,0.082,0.807,0.111,0.9837
Aussie director says Trump is pulling from the Bjelke-Petersen playbook,2025-06-24,0.097,0.819,0.084,-0.9681
